t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm
1014,4.1812000000000005,4.1918,4.1693,49.4444,0.4977,DISCH,27.982466666666667,0.0,0.0,2.0809776733333334,1.0,4.160672467109157,0.020527532890843858,0.06
2029,4.181825,4.1896,4.1698,50.2161,0.4971,DISCH,27.97985,1.015,1.015,2.0787799075000004,0.9999575289141415,4.160708467109156,0.021116532890843587,0.06
3019,4.18126,4.1923,4.1683,49.8111,0.49824,DISCH,27.98082,2.005,0.99,2.083264166,0.9999160089141415,4.160640067109156,0.02061993289084363,0.06
4022,4.180960000000001,4.1915,4.1677,49.5456,0.4989,DISCH,27.9847,3.008,1.003,2.085876098,0.999873887979798,4.160600467109156,0.020359532890844356,0.06
5015,4.1812,4.1942,4.1703,50.2694,0.49916,DISCH,27.97754,4.001,0.9930000000000004,2.087083656,0.9998321652626263,4.160584867109156,0.02061513289084349,0.06
6018,4.18112,4.1906,4.1704,49.9454,0.4998999999999999,DISCH,27.98512,5.004,1.0029999999999992,2.090137434,0.9997899599006734,4.160540467109156,0.02057953289084402,0.06
7016,4.18042,4.1907,4.1687,50.2837,0.50048,DISCH,27.980560000000004,6.002,0.9980000000000002,2.09221524,0.9997479162104378,4.160505667109156,0.019914332890843767,0.06
8016,4.1803,4.1912,4.1702,50.087,0.50014,DISCH,27.97498,7.002,1.0,2.0907342479999995,0.9997058168838384,4.160526067109156,0.019773932890843504,0.06
9026,4.18024,4.1905,4.1714,49.7683,0.50132,DISCH,27.994980000000005,8.012,1.010000000000001,2.095638504,0.9996631962441078,4.160455267109156,0.01978473289084448,0.06
10027,4.1801,4.1916,4.1695,49.885,0.50132,DISCH,28.0103,9.013,1.0009999999999994,2.095567986,0.9996209553922559,4.160455267109156,0.019644732890844452,0.06
11017,4.18028,4.19,4.1723,50.2115,0.50096,DISCH,28.00602,10.003,0.9900000000000002,2.09415288,0.9995792087255893,4.160476867109156,0.019803132890843678,0.06
12006,4.1803,4.1919,4.1676,50.4024,0.50118,DISCH,28.01702,10.992,0.9890000000000008,2.09508251,0.999537485912458,4.160463667109156,0.019836332890843522,0.06
13002,4.1806,4.1896,4.1679,50.0255,0.5006,DISCH,28.0163,11.988,0.9959999999999988,2.092808498,0.9994955164175084,4.160498467109156,0.02010153289084382,0.06
14000,4.180280000000001,4.1924,4.1675,49.9204,0.4998599999999999,DISCH,28.01742,12.986,0.9980000000000012,2.089554646,0.9994535248114479,4.160542867109156,0.019737132890844222,0.06
15003,4.18036,4.1936,4.1688,49.7169,0.49928,DISCH,28.021000000000004,13.989,1.003,2.08717031,0.9994113717946129,4.160577667109156,0.019782332890843968,0.06
15988,4.17982,4.1894,4.1703,50.0698,0.49934,DISCH,28.00958,14.974,0.9849999999999994,2.08715141,0.9993699702878789,4.160574067109156,0.01924593289084431,0.06
16986,4.179460000000001,4.19,4.1708,49.9777,0.49878,DISCH,28.02448,15.972,0.9979999999999992,2.0846317020000003,0.999328069409091,4.160607667109156,0.018852332890844536,0.06
17984,4.17936,4.1907,4.171,50.1979,0.4983799999999999,DISCH,28.04784,16.97,0.9979999999999992,2.082910122,0.9992862021329968,4.160631667109156,0.01872833289084408,0.06
18977,4.17948,4.1913,4.1701,49.7914,0.4995199999999999,DISCH,28.0103,17.963,0.993000000000002,2.087735634,0.999244449324916,4.160563267109156,0.018916732890843946,0.06
19978,4.1793,4.1912,4.1712,49.6777,0.49954,DISCH,28.00344,18.964,1.0009999999999977,2.08772908,0.9992023584545456,4.160562067109156,0.018737932890843467,0.06
20970,4.1796,4.1907,4.1665,50.5393,0.4993599999999999,DISCH,28.0257,19.956,0.9920000000000008,2.087126524,0.9991606610538722,4.160572867109156,0.019027132890843568,0.06
21968,4.17966,4.1914,4.1687,50.209,0.4983599999999999,DISCH,28.01558,20.954,0.9980000000000012,2.082977514,0.9991187954579126,4.160632867109157,0.019027132890843568,0.06
22961,4.18022,4.1917,4.169,49.8311,0.49832,DISCH,27.998200000000004,21.947,0.9929999999999986,2.083088098,0.9990771429528621,4.160635267109156,0.01958473289084406,0.06
23959,4.1802,4.1923,4.1681,49.1577,0.49752,DISCH,28.02402,22.945,0.9980000000000012,2.079733768,0.9990353479225591,4.160683267109156,0.019516732890844324,0.06
24963,4.180339999999999,4.1927,4.1712,49.5846,0.49754,DISCH,28.01654,23.949,1.0040000000000011,2.079887498,0.9989932999292931,4.160682067109156,0.019657932890843277,0.06
25966,4.18032,4.1877,4.1699,50.0014,0.49836,DISCH,27.9991,24.952,1.003,2.083305206,0.9989512245858587,4.160632867109157,0.01968713289084345,0.06
26967,4.18098,4.1871,4.1693,49.9578,0.5010600000000001,DISCH,28.00288,25.953,1.0009999999999977,2.094921266,0.9989090056414143,4.160470867109156,0.020509132890843773,0.06
27982,4.18064,4.1936,4.1674,50.2376,0.50214,DISCH,28.01062,26.968,1.0150000000000006,2.099267566,0.998866103949495,4.1604060671091565,0.020233932890843853,0.06
28972,4.1798,4.1938,4.1665,50.4208,0.5013799999999999,DISCH,28.00668,27.958,0.9899999999999984,2.09567331,0.9988243222828284,4.1604516671091565,0.0193483328908437,0.06
29982,4.17962,4.1895,4.1693,50.1068,0.50088,DISCH,28.01226,28.968,1.0100000000000016,2.09349348,0.9987817390505052,4.160481667109156,0.019138332890843657,0.06
30981,4.179119999999999,4.1893,4.167,49.7855,0.50062,DISCH,28.02368,29.967,0.9989999999999988,2.092155904,0.998739641459596,4.1604972671091565,0.01862273289084282,0.06
31984,4.178179999999999,4.1931,4.1674,49.7306,0.50034,DISCH,28.03936,30.97,1.003,2.090511532,0.998697398949495,4.1605140671091565,0.01766593289084284,0.06
32977,4.17744,4.1865,4.166,50.1527,0.49982,DISCH,28.03292,31.963,0.993000000000002,2.08796856,0.9986556210656566,4.160545267109156,0.016894732890843756,0.06
