t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm
3850708,3.80762,3.8191,3.7949,299.9833,2.99946,DISCH,50.9727,3849.694,1.012000000000171,11.420806952,0.8091564047957092,3.8035034456758816,0.004116554324118393,0.06
3851713,3.80798,3.82,3.7978,299.6518,2.99996,DISCH,50.98168,3850.699,1.0050000000001091,11.423789082,0.809047641620878,3.803289090662342,0.0046909093376581446,0.06
3852711,3.8082,3.8209,3.7945,300.1622,2.998,DISCH,50.96674,3851.697,0.9980000000000472,11.416984908,0.8089487835745874,3.8032510183290253,0.004948981670974462,0.06
3853713,3.80786,3.8214,3.7948,299.9094,2.99724,DISCH,50.9721,3852.699,1.0019999999999527,11.413070548000002,0.808841550736017,3.803151186356428,0.004708813643572007,0.06
3854719,3.80824,3.8187,3.7957,299.369,2.9971,DISCH,50.96438,3853.705,1.005999999999858,11.413677104,0.8087496783916278,3.803001875003691,0.005238124996309157,0.06
3855718,3.80728,3.8183,3.798,299.7006,2.99734,DISCH,50.96578,3854.704,0.999000000000251,11.411710856000004,0.8086343771213761,3.8028561439397994,0.0044238560602005705,0.06
3856710,3.80734,3.8162,3.7992,299.8059,2.9980199999999995,DISCH,50.96434000000001,3855.696,0.9919999999997344,11.41448004,0.8085290139915724,3.8026498194719043,0.0046901805280956665,0.06
3857711,3.80684,3.8173,3.7944,300.1857,2.99856,DISCH,50.98214,3856.697,1.0010000000002035,11.415038684,0.8084117273663957,3.8024605100051176,0.004379489994882135,0.06
3858709,3.80686,3.82,3.7973,300.0982,2.9987599999999994,DISCH,50.98271999999999,3857.695,0.9980000000000472,11.41586026,0.8083014167140558,3.802278680615905,0.004581319384095117,0.06
3859712,3.80718,3.8205,3.7912,299.8256,3.00026,DISCH,50.9938,3858.698,1.0029999999997017,11.422530442,0.8082074180822718,3.8020259139344006,0.005154086065599195,0.06
3860714,3.80774,3.817,3.7957,299.8891,2.99886,DISCH,50.98322,3859.7,1.0019999999999527,11.418877982,0.8081327164882033,3.8019734806166254,0.005766519383374469,0.06
3861713,3.80798,3.8159,3.7951,300.4171,2.99884,DISCH,50.98724,3860.699,0.999000000000251,11.419522138,0.8080694820204558,3.8018669325374774,0.006113067462522714,0.06
3862717,3.80786,3.8173,3.7974,299.3848,3.00052,DISCH,50.99262,3861.703,1.0039999999999054,11.425555858,0.8080071584343853,3.8016719421635803,0.006188057836419514,0.06
3863711,3.80754,3.8183,3.7943,300.1351,3.00102,DISCH,50.99656,3862.697,0.994000000000142,11.426499862000002,0.8079410481911344,3.8015547446085733,0.0059852553914265805,0.06
3864712,3.80712,3.8199,3.7964,300.554,2.99962,DISCH,50.99476,3863.698,1.000999999999749,11.41991044,0.8078607602416406,3.8015400049433854,0.00557999505661444,0.06
